molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL4081638,COc1ccccc1CNC1CCc2c(sc3ncn(Cc4c(OC)ccc5ccccc45)c(=O)c23)C1,IC50,'=',2240,nM
CHEMBL4227437,COCCn1cc(COc2cccc(Cc3cnc(NC(=O)CSc4nc(C)cc(C)n4)s3)c2)nn1,IC50,'=',120,nM
CHEMBL4227437,COCCn1cc(COc2cccc(Cc3cnc(NC(=O)CSc4nc(C)cc(C)n4)s3)c2)nn1,IC50,'=',120,nM
CHEMBL3804908,NC(=O)c1cncc(OCc2cccc(NC(=O)c3ccc(-c4nccs4)cc3)c2)c1,IC50,'=',46,nM
CHEMBL3805687,CC(=O)c1ccc(C(=O)Nc2cccc(COc3cncc(C(N)=O)c3)c2)cc1,IC50,'=',465,nM
CHEMBL3806238,CCc1ccc(C(=O)Nc2cccc(COc3cncc(C(N)=O)c3)c2)cc1,IC50,'=',151,nM
CHEMBL3222141,O=C(Nc1cccc(Br)c1)c1cccc(S(=O)(=O)N2CCCCCC2)c1,IC50,'=',15500,nM
CHEMBL2152568,COC(=O)c1cccc(Nc2ccccc2C(N)=O)c1,IC50,'>',100000,nM
CHEMBL2152585,CN(C)C(=O)c1ccccc1Nc1ccccc1,IC50,'>',100000,nM
CHEMBL2152594,NC(=O)c1ccccc1Nc1ccc(NC(=O)c2ccccc2)cc1,IC50,'=',17000,nM
CHEMBL4877598,C#CCN1C(=O)/C(=C2\Nc3ccccc3\C2=N/OCCCC(=O)NO)c2ccccc21,IC50,,,
CHEMBL1814814,CC(=O)NCCC[C@H](NC(=O)[C@H](CCCCNC(N)=S)NC(=O)[C@H](CCCNC(C)=O)NC(C)=O)C(N)=O,IC50,'=',57200,nM
CHEMBL4167724,O=C(CSc1nnc2ccccn12)Nc1cccc(COc2ccc(NC(=O)c3cccs3)cc2)c1,IC50,'>',300000,nM
CHEMBL3222156,CN1c2ccc(C(N)=O)cc2CCc2cc([N+](=O)[O-])ccc21,IC50,'=',77500,nM
CHEMBL386248,,,,,
CHEMBL3427768,NC(=O)C1CCCCc2c(-c3ccc(Cl)cc3)n[nH]c21,IC50,'=',6800,nM
CHEMBL4762508,CCCCCCCCCCCCCC(=S)NCCCC[C@H](NC(=O)CCOCCOCCOCCOCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O)C(=O)Nc1ccccc1,IC50,'=',110,nM
CHEMBL291725,CN1C(=O)C(c2c[nH]c3ccccc23)=C(c2c[nH]c3ccccc23)C1=O,IC50,'=',33000,nM
CHEMBL3804923,NC(=O)c1cncc(OCc2cccc(NC(=O)/C=C/c3ccccc3)c2)c1,IC50,'=',156,nM
CHEMBL3805381,NC(=O)c1cncc(OCc2cccc(NC(=O)c3cccc4ccccc34)c2)c1,IC50,'=',572,nM
CHEMBL569684,Cc1cc(C)c(/C=C2\C(=O)Nc3c2ccc(Cl)c3Cl)[nH]1,IC50,'=',135400,nM
CHEMBL4553883,O=[N+]([O-])c1cccc(C2c3sc4ccc(Cl)cc4c3N=C3NN=CN32)c1,IC50,'=',2.55,ug.mL-1
