DATABASE_ID,SMILES,DRUG_GROUPS
DB00427,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,approved
DB00433,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,approved; vet_approved
DB00434,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,approved
DB00436,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,approved
DB00439,COCc1c(-c2ccc(F)cc2)c(=CC[C@@H](O)C[C@@H](O)CC(=O)O)c(C(C)C)nc1=C(C)C,approved; withdrawn
DB00440,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,approved; vet_approved
DB00443,C[C@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,approved; vet_approved
DB00446,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,approved; vet_approved; withdrawn
DB00447,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,approved; investigational; withdrawn
DB00448,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,approved; investigational
DB00449,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,approved
DB00450,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,approved; vet_approved
DB00455,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,approved; investigational
DB00456,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)[C@H]2SC1,approved; investigational; vet_approved
DB00457,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,approved
DB00458,CN(C)CCCN1c2ccccc2CCc2ccccc21,approved
DB00459,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,approved
DB00462,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,approved
DB00467,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,approved; investigational
DB00468,C=C[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,approved
DB00469,CN1C(C(=O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,approved
DB00472,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,approved; vet_approved
DB00475,CN=C1C[N+]([O-])=C(c2ccccc2)c2cc(Cl)ccc2N1,approved; illicit; investigational
DB00476,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,approved
DB00477,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,approved; investigational; vet_approved
DB00482,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,approved; investigational
DB00485,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12,approved; investigational; vet_approved
DB00487,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,approved
DB00490,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,approved; investigational
DB00494,CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1,approved; investigational
DB00496,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,approved; investigational
